lon,lat,tile_ID,comm_ID,geometry
114.229319728,22.7608676177,1958,147.0,"POLYGON ((114.23428866 22.7652787560001,114.234076047 22.756259496,114.224351126 22.7564563370001,114.224563102 22.765475684,114.23428866 22.7652787560001))"
114.239044914,22.7606704379,1959,108.0,"POLYGON ((114.244014109 22.7650812380001,114.24380086 22.756062064,114.234076047 22.756259496,114.23428866 22.7652787560001,114.244014109 22.7650812380001))"
114.248769991,22.7604726675,1960,108.0,"POLYGON ((114.253739451 22.7648831280001,114.253525565 22.755864042,114.24380086 22.756062064,114.244014109 22.7650812380001,114.253739451 22.7648831280001))"
114.25849496,22.7602743063,1961,139.0,"POLYGON ((114.263464684 22.7646844280001,114.263250161 22.755665429,114.253525565 22.755864042,114.253739451 22.7648831280001,114.263464684 22.7646844280001))"
114.26821982,22.7600753547,1962,123.0,"POLYGON ((114.273189808 22.764485138,114.272974649 22.755466226,114.263250161 22.755665429,114.263464684 22.7646844280001,114.273189808 22.764485138))"
114.277944572,22.7598758125,1963,148.0,"POLYGON ((114.282914824 22.7642852560001,114.282699028 22.755266432,114.272974649 22.755466226,114.273189808 22.764485138,114.282914824 22.7642852560001))"
114.287669214,22.7596756794,1964,139.0,"POLYGON ((114.29263973 22.764084784,114.292423298 22.7550660480001,114.282699028 22.755266432,114.282914824 22.7642852560001,114.29263973 22.764084784))"
114.297393747,22.7594749562,1965,140.0,"POLYGON ((114.302364526 22.7638837210001,114.302147458 22.754865074,114.292423298 22.7550660480001,114.29263973 22.764084784,114.302364526 22.7638837210001))"
114.307118171,22.7592736425,1966,140.0,"POLYGON ((114.312089213 22.763682068,114.311871508 22.7546635090001,114.302147458 22.754865074,114.302364526 22.7638837210001,114.312089213 22.763682068))"
114.316842484,22.7590717382,1967,140.0,"POLYGON ((114.321813789 22.7634798240001,114.321595448 22.754461354,114.311871508 22.7546635090001,114.312089213 22.763682068,114.321813789 22.7634798240001))"
114.326566687,22.7588692435,1968,149.0,"POLYGON ((114.331538255 22.7632769890001,114.331319277 22.754258609,114.321595448 22.754461354,114.321813789 22.7634798240001,114.331538255 22.7632769890001))"
114.336290779,22.7586661581,1969,140.0,"POLYGON ((114.341262609 22.763073564,114.341042996 22.7540552730001,114.331319277 22.754258609,114.331538255 22.7632769890001,114.341262609 22.763073564))"
